SampleN,Beta1,SE1,Beta2,SE2,Beta3,SE3,Beta4,SE4
214,0.979518,0.002945,0.960317,0.004761,0.963134,0.004316,0.955700,0.006397
215,0.978280,0.002996,0.960325,0.004762,0.961744,0.004410,0.954590,0.006453
216,0.976489,0.003118,0.960371,0.004761,0.962672,0.004467,0.949835,0.006369
217,0.980999,0.002992,0.960298,0.004761,0.958274,0.004382,0.950678,0.006439
218,0.979692,0.003044,0.960322,0.004761,0.962905,0.004499,0.960209,0.006461
219,0.979930,0.003030,0.960404,0.004761,0.961255,0.004477,0.955017,0.006535
220,0.982057,0.003012,0.960346,0.004761,0.962404,0.004206,0.952321,0.006587
221,0.981619,0.002946,0.960392,0.004760,0.969241,0.004234,0.959125,0.006404
222,0.983061,0.002981,0.960338,0.004762,0.959486,0.004346,0.961843,0.006474
223,0.978360,0.003081,0.960340,0.004761,0.963386,0.004395,0.954767,0.006426
224,0.977452,0.003061,0.960375,0.004760,0.965732,0.004270,0.945217,0.006571
225,0.979057,0.003012,0.960308,0.004762,0.967912,0.004288,0.955424,0.006450
226,0.983714,0.002948,0.960314,0.004762,0.963784,0.004343,0.958915,0.006370
227,0.978690,0.003011,0.960264,0.004762,0.964327,0.004388,0.957038,0.006482
228,0.977421,0.003058,0.960308,0.004761,0.968928,0.004387,0.952324,0.006432
229,0.980023,0.002965,0.960353,0.004761,0.959220,0.004514,0.951812,0.006399
230,0.977696,0.002969,0.960330,0.004760,0.960546,0.004401,0.944064,0.006612
231,0.980999,0.002997,0.960347,0.004761,0.959660,0.004262,0.951465,0.006496
232,0.982097,0.002991,0.960331,0.004762,0.961551,0.004254,0.953664,0.006507
233,0.981573,0.003014,0.960440,0.004759,0.968575,0.004346,0.958789,0.006220
234,0.976836,0.003014,0.960320,0.004762,0.964572,0.004328,0.955074,0.006480
235,0.980613,0.002958,0.960238,0.004764,0.961934,0.004311,0.958554,0.006471
