SampleN,Beta1,SE1,Beta2,SE2,Beta3,SE3,Beta4,Se4
139,0.983000,0.003180,0.967355,0.005066,0.967003,0.004607,0.963977,0.006297
140,0.980000,0.003130,0.967410,0.005065,0.975204,0.004325,0.964091,0.006313
141,0.978000,0.003230,0.967391,0.005068,0.961859,0.004603,0.963751,0.006600
142,0.983000,0.003090,0.967399,0.005066,0.972773,0.004444,0.958128,0.006640
143,0.979000,0.003260,0.967460,0.005064,0.968472,0.004653,0.960200,0.006467
144,0.978000,0.003330,0.967393,0.005066,0.968489,0.004488,0.965719,0.006320
145,0.980000,0.003130,0.967379,0.005068,0.969649,0.004477,0.962602,0.006611
146,0.982000,0.003090,0.967488,0.005065,0.971548,0.004544,0.962867,0.006451
147,0.977000,0.003140,0.967372,0.005069,0.975898,0.004282,0.956684,0.006583
148,0.985000,0.003060,0.967326,0.005070,0.965839,0.004581,0.959482,0.006329
149,0.980000,0.003210,0.967441,0.005066,0.969266,0.004548,0.960291,0.006585
150,0.981000,0.003030,0.967352,0.005068,0.968355,0.004644,0.963064,0.006647
151,0.982000,0.003100,0.967411,0.005066,0.977662,0.004349,0.962300,0.006618
152,0.981000,0.003170,0.967391,0.005067,0.974761,0.004382,0.956226,0.006772
153,0.982000,0.003070,0.967402,0.005066,0.969494,0.004371,0.963592,0.006447
154,0.980000,0.003070,0.967351,0.005069,0.970277,0.004386,0.961115,0.006718
155,0.983000,0.003010,0.967333,0.005068,0.968800,0.004459,0.960573,0.006662
156,0.977018,0.003285,0.967311,0.005070,0.967300,0.004523,0.965398,0.006615
157,0.985000,0.003000,0.967359,0.005069,0.968697,0.004444,0.966070,0.006458
158,0.984000,0.003130,0.967319,0.005069,0.971026,0.004419,0.958057,0.006486
159,0.979000,0.003210,0.967373,0.005067,0.973376,0.004629,0.972101,0.006446
160,0.985000,0.002970,0.967396,0.005066,0.971568,0.004526,0.964628,0.006545
161,0.985000,0.003100,0.967358,0.005069,0.969697,0.004572,0.963688,0.006685
162,0.981000,0.003000,0.967433,0.005068,0.964831,0.004467,0.957850,0.006757
163,0.980000,0.003140,0.967349,0.005069,0.969323,0.004626,0.956835,0.006643
164,0.985000,0.002960,0.967316,0.005070,0.971008,0.004349,0.966081,0.006322
165,0.984000,0.003160,0.967412,0.005067,0.970816,0.004489,0.969118,0.006250
166,0.981000,0.003040,0.967482,0.005064,0.972176,0.004272,0.966712,0.006564
167,0.981000,0.003120,0.967331,0.005070,0.970428,0.004320,0.962947,0.006593
168,0.984000,0.003060,0.967359,0.005068,0.976162,0.004345,0.958232,0.006560
169,0.982873,0.003090,0.967369,0.005068,0.968182,0.004558,0.961136,0.006749
170,0.982000,0.003070,0.967353,0.005068,0.969975,0.004437,0.959995,0.006550
171,0.980000,0.003170,0.967437,0.005066,0.970562,0.004587,0.966459,0.006520
172,0.980000,0.003170,0.967377,0.005068,0.968292,0.004516,0.957321,0.006769
173,0.979000,0.003090,0.967361,0.005068,0.973084,0.004478,0.961194,0.006658
174,0.982000,0.003060,0.967356,0.005067,0.966468,0.004601,0.969661,0.006432
175,0.985000,0.003100,0.967347,0.005068,0.976284,0.004412,0.966440,0.006216
176,0.985000,0.002940,0.967367,0.005068,0.971631,0.004516,0.968081,0.006447
177,0.985281,0.003024,0.967478,0.005065,0.972295,0.004444,0.969225,0.006452
178,0.981000,0.003100,0.967389,0.005068,0.968929,0.004646,0.958832,0.006575
179,0.982118,0.003075,0.967333,0.005069,0.970716,0.004383,0.964339,0.006413
180,0.985000,0.003110,0.967389,0.005069,0.967314,0.004403,0.962841,0.006482
181,0.983000,0.003210,0.967391,0.005068,0.968934,0.004530,0.966161,0.006590
182,0.984000,0.003090,0.967354,0.005068,0.967735,0.004519,0.965412,0.006562
183,0.982011,0.003156,0.967354,0.005068,0.971948,0.004444,0.973089,0.006460
184,0.984000,0.003080,0.967302,0.005070,0.970992,0.004589,0.962475,0.006562
185,0.983000,0.003010,0.967381,0.005068,0.966554,0.004625,0.972197,0.006553
186,0.978974,0.003190,0.967402,0.005068,0.972647,0.004416,0.956887,0.006797
187,0.983000,0.003130,0.967473,0.005065,0.971950,0.004407,0.957453,0.006601
188,0.986305,0.003054,0.967435,0.005066,0.964253,0.004688,0.964036,0.006606
189,0.984000,0.003000,0.967384,0.005068,0.963315,0.004614,0.962283,0.006623
190,0.983000,0.003020,0.967357,0.005068,0.969066,0.004508,0.955926,0.006741
191,0.983000,0.003070,0.967380,0.005067,0.972270,0.004469,0.964291,0.006529
192,0.981000,0.003060,0.967355,0.005068,0.971546,0.004461,0.961125,0.006577
193,0.982000,0.003160,0.967291,0.005071,0.970953,0.004496,0.955125,0.006638
194,0.980000,0.003180,0.967433,0.005066,0.970525,0.004546,0.965265,0.006540
195,0.977000,0.003240,0.967390,0.005066,0.966829,0.004588,0.965943,0.006635
196,0.982000,0.003080,0.967349,0.005068,0.970905,0.004435,0.968263,0.006497
197,0.983000,0.003070,0.967347,0.005069,0.969256,0.004579,0.961010,0.006593
198,0.981000,0.003170,0.967492,0.005065,0.970285,0.004726,0.954740,0.006686
199,0.984000,0.003060,0.967421,0.005067,0.970893,0.004458,0.970427,0.006618
200,0.977000,0.003100,0.967368,0.005067,0.975112,0.004492,0.959242,0.006671
201,0.983000,0.003080,0.967351,0.005069,0.975340,0.004469,0.968872,0.006455
202,0.983000,0.003130,0.967338,0.005068,0.973697,0.004481,0.963562,0.006520
203,0.978000,0.003170,0.967326,0.005067,0.967308,0.004251,0.961531,0.006578
204,0.983000,0.003120,0.967331,0.005071,0.967051,0.004597,0.965546,0.006433
205,0.982000,0.003120,0.967369,0.005070,0.973666,0.004478,0.965749,0.006473
206,0.983000,0.003100,0.967281,0.005070,0.971991,0.004456,0.964216,0.006510
207,0.983000,0.003160,0.967227,0.005071,0.970266,0.004462,0.958824,0.006602
208,0.980000,0.003120,0.967315,0.005070,0.968118,0.004447,0.968409,0.006413
209,0.977218,0.003299,0.967412,0.005066,0.970512,0.004452,0.969069,0.006480
210,0.984000,0.003140,0.967372,0.005067,0.966417,0.004579,0.961464,0.006530
211,0.978000,0.003150,0.967335,0.005069,0.975378,0.004500,0.960507,0.006648
212,0.979937,0.003086,0.967377,0.005066,0.974127,0.004474,0.964300,0.006555
213,0.983000,0.003000,0.967398,0.005067,0.969920,0.004334,0.960895,0.006637
214,0.983000,0.002980,0.967361,0.005069,0.966317,0.004632,0.959530,0.006513
215,0.986000,0.003050,0.967334,0.005069,0.966565,0.004556,0.974984,0.006587
216,0.977151,0.003163,0.967426,0.005065,0.969364,0.004694,0.959799,0.006419
217,0.982000,0.003040,0.967365,0.005067,0.972834,0.004448,0.960184,0.006504
218,0.983000,0.003160,0.967353,0.005067,0.968214,0.004612,0.962677,0.006472
219,0.980617,0.003152,0.967380,0.005066,0.967681,0.004651,0.966732,0.006526
220,0.984000,0.003150,0.967342,0.005067,0.972002,0.004574,0.964452,0.006604
221,0.983000,0.003010,0.967438,0.005066,0.971223,0.004473,0.959714,0.006555
222,0.984000,0.003050,0.967383,0.005069,0.965687,0.004573,0.963241,0.006343
223,0.983000,0.003100,0.967389,0.005067,0.970071,0.004576,0.962938,0.006586
224,0.979423,0.003201,0.967409,0.005066,0.972174,0.004457,0.957684,0.006631
225,0.982000,0.003110,0.967314,0.005068,0.969745,0.004362,0.966542,0.006427
226,0.986000,0.002990,0.967388,0.005068,0.971679,0.004329,0.960372,0.006378
227,0.984000,0.003140,0.967345,0.005068,0.969001,0.004591,0.955525,0.006546
228,0.980000,0.003190,0.967349,0.005068,0.972718,0.004515,0.964686,0.006555
