SampleN,Beta1,SE1,Beta2,SE2,Beta3,SE3,Beta4,Se4
130,0.8660825,0.0120569,0.8169727,0.0131584,0.8270632,0.0125331,0.782929,0.0195788
131,0.865733,0.0121643,0.817038,0.0131584,0.837266,0.0124789,0.7664414,0.0193327
132,0.8667884,0.0121308,0.8171464,0.0131573,0.8473238,0.0122201,0.7860609,0.0196104
133,0.8663829,0.0120923,0.8170671,0.0131575,0.8366812,0.0126147,0.7722507,0.0191217
134,0.8716212,0.0120072,0.8170082,0.0131567,0.831394,0.0124665,0.7781733,0.0193115
135,0.8675877,0.0121022,0.8170713,0.0131586,0.8296088,0.0124241,0.7721005,0.0192456
136,0.8652949,0.0121821,0.81698,0.013158,0.8348969,0.0125843,0.7712018,0.0189593
137,0.872408,0.0119928,0.8170435,0.0131565,0.832335,0.012631,0.777144,0.0193724
138,0.8688661,0.0118806,0.8170086,0.0131577,0.8375088,0.0126053,0.7748376,0.0193812
139,0.8756962,0.0118592,0.8171203,0.0131578,0.8322463,0.0125752,0.776358,0.019292
140,0.868999,0.011792,0.8171195,0.0131586,0.8422827,0.0124055,0.7769678,0.0188711
141,0.8721685,0.0118389,0.8170275,0.0131578,0.8351673,0.0125628,0.7743229,0.0195494
142,0.8644398,0.0120413,0.8169942,0.0131577,0.8264742,0.0128712,0.7801045,0.0192778
143,0.8634135,0.0120737,0.8171003,0.0131578,0.8206051,0.0126657,0.7678633,0.0191404
144,0.8668519,0.0120145,0.8171005,0.0131577,0.832683,0.012494,0.7683387,0.0188985
145,0.8668468,0.0119392,0.817049,0.013159,0.8374489,0.0127297,0.7789363,0.0193577
146,0.8714354,0.0119005,0.8171095,0.0131593,0.8275461,0.0126899,0.7815875,0.0192234
147,0.872466,0.011897,0.8170726,0.0131578,0.837654,0.0124276,0.7774679,0.0194493
148,0.868381,0.0120089,0.817039,0.0131576,0.8320733,0.0127169,0.7813718,0.0190521
149,0.868203,0.012069,0.8170701,0.0131587,0.8341934,0.0123296,0.7725852,0.0191132
150,0.8714359,0.0120467,0.81703,0.0131593,0.8272348,0.0125209,0.7698905,0.0194292
151,0.8717364,0.0119511,0.8170715,0.0131583,0.8386453,0.0125025,0.7699551,0.0192183
152,0.8743443,0.0120665,0.8170675,0.0131577,0.8365869,0.0128797,0.759411,0.019829
153,0.8658207,0.0120049,0.8170859,0.0131581,0.8400254,0.0126537,0.7864219,0.0191448
154,0.869115,0.011977,0.8169638,0.0131571,0.8338763,0.0123732,0.7582401,0.0195966
155,0.8675554,0.0120391,0.8170134,0.0131565,0.8220849,0.0125155,0.757565,0.0195463
156,0.873651,0.0120493,0.8170041,0.0131566,0.829839,0.0126617,0.779479,0.019347
157,0.874148,0.0119619,0.8170336,0.0131576,0.8320243,0.0124773,0.7673213,0.0191697
158,0.8619545,0.0120416,0.816979,0.013157,0.8309349,0.0128113,0.7758142,0.0191778
159,0.8620628,0.0120319,0.8170796,0.0131573,0.8354631,0.0126219,0.779726,0.019566
160,0.8601652,0.0121043,0.8170607,0.0131574,0.8385526,0.0124836,0.783044,0.019278
161,0.8726081,0.0121214,0.8170522,0.0131581,0.8302439,0.0126608,0.7743035,0.0193005
162,0.8722003,0.0120048,0.8171156,0.0131584,0.8185342,0.0128065,0.7655468,0.0197809
163,0.870909,0.0119307,0.8170387,0.0131571,0.8256654,0.0127022,0.7723075,0.0196244
164,0.8720387,0.0119487,0.8170155,0.0131575,0.8295323,0.0126662,0.7834861,0.0189562
165,0.8671158,0.0121494,0.8170326,0.0131576,0.8300698,0.0125005,0.7774492,0.0193664
166,0.8697506,0.0119232,0.8171193,0.0131573,0.8422502,0.0125083,0.7648276,0.0192451
167,0.8721798,0.0119275,0.8169929,0.0131562,0.820952,0.0125712,0.7739476,0.0193562
168,0.8712692,0.0119937,0.8170416,0.0131586,0.8301344,0.0127226,0.779612,0.0195526
169,0.8619723,0.0119693,0.8170513,0.0131577,0.830998,0.0126695,0.7741805,0.0197986
170,0.8685024,0.0119541,0.8170526,0.0131581,0.837565,0.012758,0.7623889,0.0192468
171,0.8703023,0.0120475,0.8171144,0.0131575,0.8342893,0.0123769,0.7678284,0.0192834
172,0.868753,0.012013,0.8170495,0.0131599,0.8281218,0.0126133,0.7650326,0.0192343
173,0.8637621,0.0119002,0.8170434,0.0131573,0.8384794,0.0125604,0.7849947,0.0193359
174,0.8700956,0.0118909,0.8170102,0.0131578,0.8210563,0.0125076,0.7724455,0.0189272
175,0.8674347,0.0117914,0.8170599,0.0131586,0.8310988,0.0126591,0.7732088,0.0192603
176,0.867968,0.0118225,0.817041,0.0131581,0.826608,0.0125335,0.7669378,0.0194034
177,0.8669776,0.0119117,0.8170563,0.0131574,0.8346022,0.0127953,0.7654454,0.0193913
178,0.8698612,0.0119722,0.817071,0.0131591,0.828996,0.012594,0.7670841,0.0186179
179,0.8724788,0.0120379,0.8170314,0.0131573,0.830734,0.0124705,0.7833414,0.0193791
180,0.8666259,0.0121844,0.8170036,0.0131575,0.8283762,0.0128149,0.7632528,0.0194796
181,0.865168,0.0119709,0.817067,0.0131571,0.8303976,0.0126968,0.7551395,0.0192246
182,0.870803,0.012004,0.8169986,0.0131577,0.838355,0.0125241,0.7776175,0.0190884
183,0.8761349,0.0118196,0.8170037,0.0131573,0.8342413,0.0126504,0.782289,0.0193772
184,0.8774603,0.0118686,0.8170053,0.0131572,0.8291821,0.0128621,0.7598415,0.0188458
185,0.874936,0.011792,0.8170032,0.0131572,0.8260947,0.0128303,0.7741591,0.0192111
186,0.8708982,0.0120056,0.8170666,0.0131591,0.823447,0.012608,0.7600191,0.0194526
187,0.868664,0.012065,0.8170874,0.0131584,0.8216039,0.0127541,0.7811364,0.0190369
188,0.8680055,0.0118141,0.8170967,0.0131583,0.8240178,0.0126728,0.77152,0.0191675
189,0.871614,0.011927,0.8170547,0.0131576,0.8257169,0.0125678,0.7717493,0.0197017
190,0.8730524,0.0121225,0.8170284,0.0131591,0.828212,0.0126557,0.7658263,0.0188692
191,0.8693765,0.0119391,0.8170277,0.0131576,0.824192,0.0126939,0.7691313,0.0192344
192,0.8713474,0.0118732,0.8170326,0.0131573,0.821321,0.012411,0.7871585,0.0186448
193,0.8698075,0.0119255,0.816944,0.0131573,0.8262795,0.0124892,0.7771132,0.0192134
194,0.8686559,0.0120924,0.8170158,0.0131586,0.824688,0.012471,0.7776291,0.0193986
195,0.8615784,0.0119929,0.817026,0.0131592,0.8320323,0.0124532,0.753383,0.019341
196,0.8773448,0.0120708,0.8170186,0.0131576,0.8404737,0.0123161,0.772389,0.0196426
197,0.874585,0.011775,0.8170265,0.0131585,0.8344669,0.0128973,0.7752971,0.0189465
198,0.8644862,0.0119228,0.8170924,0.0131583,0.8121782,0.0129125,0.7580031,0.0189065
199,0.8623237,0.0119766,0.8170471,0.0131577,0.840211,0.012443,0.779431,0.01966
200,0.8710182,0.0122069,0.8170758,0.0131572,0.8327311,0.0125921,0.7739334,0.0193595
201,0.8724319,0.0119283,0.8170768,0.0131574,0.8402741,0.0123874,0.7574961,0.0193535
202,0.8657691,0.0118905,0.8169535,0.0131566,0.8202898,0.0127823,0.7688561,0.0192748
203,0.8717627,0.0122106,0.8170161,0.0131567,0.8400108,0.0123372,0.7610407,0.0191318
204,0.871898,0.0121259,0.8170301,0.0131575,0.814673,0.0126498,0.7819823,0.0192419
205,0.8772994,0.0118631,0.8170091,0.0131576,0.834327,0.0126245,0.7705133,0.0193927
206,0.8702475,0.0120229,0.817045,0.0131562,0.8354948,0.0126018,0.7727939,0.0191346
207,0.874492,0.012007,0.8169495,0.0131562,0.8292444,0.0127999,0.7667059,0.0191541
208,0.8717552,0.0120443,0.8170383,0.0131575,0.8331812,0.0126725,0.7709976,0.0193577
209,0.8738363,0.0119923,0.8170908,0.0131584,0.820329,0.0127746,0.7641024,0.0194685
210,0.8665742,0.0119631,0.8170415,0.0131586,0.8349186,0.0125907,0.756506,0.018886
211,0.8697194,0.0120381,0.817078,0.013157,0.8320749,0.0126703,0.762942,0.019582
212,0.8689213,0.0120095,0.8170616,0.0131583,0.826177,0.012683,0.7889269,0.0194042
213,0.8757872,0.0120513,0.8170548,0.0131582,0.8318106,0.0124651,0.7684768,0.0192441
214,0.8749623,0.0119299,0.8170234,0.0131567,0.8235794,0.0125102,0.783476,0.0189248
215,0.870249,0.0119535,0.8170339,0.0131577,0.8263926,0.0124687,0.7849028,0.0192911
216,0.8649517,0.0120059,0.8170578,0.0131594,0.8343091,0.0125067,0.7728031,0.0193226
217,0.8742346,0.0118483,0.8170327,0.0131581,0.8349194,0.0123073,0.7627452,0.0195717
218,0.8717578,0.0121603,0.8170383,0.0131586,0.8268048,0.0125155,0.7578032,0.0193754
219,0.8659076,0.0118452,0.8170607,0.0131574,0.8299637,0.0126462,0.7660228,0.0193868
220,0.8696626,0.0120655,0.8170169,0.0131573,0.8277046,0.0123311,0.7761312,0.0200478
221,0.8715515,0.0119582,0.8171103,0.0131578,0.83159,0.012639,0.7795579,0.0192683
222,0.8788278,0.0121446,0.8170741,0.0131587,0.8342586,0.0124927,0.7778174,0.0193548
223,0.862222,0.012164,0.8170607,0.0131567,0.8320766,0.0127624,0.769955,0.019833
224,0.8710488,0.0121191,0.8170582,0.0131583,0.8259567,0.0126556,0.7810417,0.0193667
225,0.8737645,0.0118318,0.8169883,0.0131582,0.837151,0.0130141,0.7750271,0.0196291
226,0.8765161,0.0120629,0.8170432,0.0131566,0.8254713,0.0126885,0.7692737,0.0192858
227,0.8684499,0.0121397,0.817048,0.013157,0.8334777,0.0124913,0.7633367,0.0191885
228,0.8678983,0.0118625,0.8170112,0.0131579,0.8281903,0.0126058,0.7819862,0.0193606
229,0.8662536,0.0120129,0.8170547,0.0131592,0.8235433,0.0125754,0.770512,0.0188689
230,0.8614115,0.0116777,0.8170224,0.0131578,0.8322783,0.0124978,0.74627,0.0195526
231,0.8717212,0.0118378,0.8170494,0.0131587,0.8371383,0.0125264,0.7762593,0.0193174
232,0.8685303,0.0118564,0.8170363,0.0131585,0.8458759,0.0122542,0.7762843,0.0191208
233,0.8757287,0.0120923,0.8171338,0.0131588,0.829247,0.0125112,0.7897291,0.0186624
234,0.870381,0.0119518,0.8170861,0.0131572,0.82707,0.0124365,0.7725533,0.0194481
235,0.8737712,0.0119462,0.8169678,0.0131574,0.8309816,0.0127995,0.7808782,0.0195472
236,0.8697984,0.0119971,0.817041,0.0131578,0.8171314,0.0127679,0.7677612,0.0192073
237,0.8694743,0.0121015,0.8169866,0.0131583,0.8483455,0.0127264,0.7626227,0.0196483
238,0.8642123,0.0119696,0.8169965,0.0131576,0.827279,0.0126618,0.7739038,0.0192831
239,0.8781513,0.0118412,0.8170715,0.0131575,0.8370519,0.0124696,0.7921791,0.0192258
240,0.8700887,0.0121249,0.8170949,0.0131586,0.8281153,0.0123983,0.771964,0.0189204
241,0.868114,0.011981,0.8170154,0.0131579,0.8393166,0.0127208,0.7815221,0.0193871
242,0.8692404,0.0120775,0.8170157,0.0131574,0.8230237,0.0124609,0.773276,0.019266
243,0.8726719,0.0119734,0.8170627,0.0131576,0.8255551,0.0130115,0.7942247,0.0191415
244,0.8638268,0.0119479,0.8170259,0.0131569,0.826267,0.012476,0.7771903,0.0191652
245,0.8645531,0.0119882,0.8170862,0.0131587,0.8337018,0.0126765,0.7621585,0.0194609
246,0.880776,0.0119697,0.8170391,0.0131574,0.8294536,0.0124746,0.7657315,0.0191474
247,0.869267,0.012097,0.8170221,0.0131571,0.8345654,0.0126419,0.7615846,0.0195218
248,0.8782909,0.0119048,0.8170289,0.0131573,0.830304,0.012922,0.7797984,0.0197041
249,0.8667504,0.0120047,0.8171167,0.0131576,0.8445662,0.0122541,0.7815966,0.0194087
250,0.8713206,0.0120398,0.8170415,0.0131577,0.8277995,0.0127124,0.7641092,0.0197155
